X;Y;CODESC;NOMEESC;END_ESC;NUM_ESC;BAIRRO;NOMDIST
-46.700231;-23.458394;35444741;CR P CONV ARY BARROSO;AURELIO BRASIL RIBEIRO;434;JARDIM CAROMBE;BRASILANDIA
-46.702079;-23.457697;35000097;RENATO DE ARRUDA PENTEADO PROFESSOR;R FLORIANO COSTA BARROSO;10;JD CAROMBE;BRASILANDIA
-46.700112;-23.455992;35405197;CR P CONV LAR ENCANTADO;RAIMUNDO CARNEIRO;170;JARDIM CAROMBE;BRASILANDIA
-46.699498;-23.456651;35441168;CR P CONV QUERUBIM;RAIMUNDO CARNEIRO;55 B;JARDIM CAROMBE;BRASILANDIA
-46.699222;-23.456711;35324917;RECANTO DOS URSINHOS ESCOLA DE EDUCACAO INFANTIL;AVENIDA MANOEL BOLIVAR;269;JARDIM CAROMBE;BRASILANDIA
-46.699717;-23.454817;35087129;EMEI JOSE CANAVO FILHO CEL;RUA EUVALDO AUGUSTO FREIRE;2;JARDIM CAROMBE;BRASILANDIA
-46.699566;-23.454474;35237991;CEI DIRET MARIA JOSE DE SOUZA;EUVALDO AUGUSTO FREIRE;50;JARDIM CAROMBE;BRASILANDIA
-46.696788;-23.458061;35182631;CR P CONV CASA DA CRIANCA ST TEREZINHA;JORGE PALMIRO MERCADO;121;VILA TERESINHA;BRASILANDIA
-46.697407;-23.456382;35444753;CR P CONV JARDIM DOS SONHOS II;LUIZ FACCINI;399;VILA TERESINHA;BRASILANDIA
-46.69919;-23.451876;35194918;CR P CONV CANTINHO DO PROGRESSO C E I;AVOANTE;83;JARDIM DAMASCENO;BRASILANDIA
-46.699234;-23.451669;35304487;CR P CONV VALE VERDE II;JACIARA;05;JARDIM DAMASCENO;BRASILANDIA
-46.699025;-23.451189;35461337;CR P CONV VALE VERDE III;GRUMIXA;71;JARDIM DAMASCENO;BRASILANDIA
-46.702111;-23.448625;35354685;EMEF JARDIM DAMASCENO I;DEPUTADO CANTIDIO SAMPAIO;4798;VILA SOUZA;BRASILANDIA
-46.70111;-23.449135;35269359;MARIA HELENA GONCALVES DE ARRUDA PROFESSORA;AVENIDA DEPUTADO CANTIDIO SAMPAIO;4678;PARADA DE TAIPAS;BRASILANDIA
-46.699478;-23.448002;35304700;CR P CONV CANAA;EMILIO CASTRO;423;JARDIM DAMASCENO;BRASILANDIA
-46.694966;-23.453634;35433731;CR P CONV ISAURA RIBEIRO MARTINS;HENRIQUETA PANTALEAO;41;JARDIM PRINCESA;BRASILANDIA
-46.695355;-23.451265;35182643;CEI INDIR JARDIM DAMASCENO;GREGORIO POMAR;10;JARDIM DAMASCENO;BRASILANDIA
-46.695339;-23.451256;35085480;EMEI ALEXANDRE GAMA CEL;RUA GREGORIO POMAR;12-A;JARDIM DAMASCENO;BRASILANDIA
-46.694726;-23.445816;35036444;GENESIO DE ALMEIDA MOURA DOUTOR;R DOMINGOS AREVALO;862;JD DAMASCENO;BRASILANDIA
-46.707899;-23.441429;35923618;EULICE SILVIO MENDONCA DA SILVA PROFESSORA;AV DEP CANTIDIO SAMPAIO;5647;PARADA DE TAIPAS;BRASILANDIA
-46.707765;-23.441563;35000280;HUMBERTO DE SOUZA MELLO GENERAL;AV DEPUTADO CANTIDIO SAMPAIO;6803;PARADA DE TAIPAS;BRASILANDIA
-46.705356;-23.445003;35165098;SAN MARCOS COLEGIO;AV DEPUTADO CANTIDIO SAMPAIO;5307;VL RICA;BRASILANDIA
-46.726456;-23.426496;35046255;CARLOS BORBA PROFESSOR;RUA JOANA PEDROSO DOS SANTOS;101;JD RODRIGO;JARAGUA
-46.725412;-23.425988;35238004;CEI DIRET SHANGRI-LA;SALVADOR DE ALBUQUERQUE;124;JARDIM SHANGRILA ZONA NORTE;JARAGUA
-46.691978;-23.461847;35300317;EMEF JARDIM GUARANI - JOSE ALFREDO APOLINARIO PROF;SANTANA DO ARACUAI;190;JARDIM GUARANI;BRASILANDIA
-46.691802;-23.461881;35182618;CEI INDIR JARDIM GUARANI;RUA SANTANA DO ARACUAI;168;JARDIM GUARANI;BRASILANDIA
-46.691799;-23.461749;35456834;CR P CONV JARDIM DOS SONHOS I;JOAO PINTO DE OLIVEIRA;489;JARDIM GUARANI;BRASILANDIA
-46.694201;-23.455532;35053089;EMEF ANDRE RODRIGUES DE ALCKMIN PROF;MARCELINO JOSE DE FREITAS;619;VILA TERESINHA;BRASILANDIA
-46.69372;-23.455422;35337274;CR P CONV UNIVERSO INFANTIL;DEPUTADO CANTIDIO SAMPAIO;3436;VILA SOUZA;BRASILANDIA
-46.692469;-23.453828;35478507;CR P CONV TIRIRILANDO;VITANTONIO MASTROROSA;20;JARDIM PRINCESA;BRASILANDIA
-46.687267;-23.46005;35414612;VILA GUARANI;RUA JOSE DA COSTA PEREIRA;70;JARDIM GUARANI;BRASILANDIA
-46.687267;-23.46005;35037655;UBALDO COSTA LEITE DOUTOR;R JOSE DA COSTA PEREIRA;70;JD GUARANI;BRASILANDIA
-46.686642;-23.459226;35182734;CR P CONV ECUMENICO STO EXPEDITO;AVENIDA DEPUTADO CANTIDIO SAMPAIO;2545;JARDIM GUARANI;BRASILANDIA
-46.69394;-23.452342;35304475;CR P CONV CANTINHO VALE VERDE;RUA VICENTE LISTO;199;JARDIM PRINCESA;BRASILANDIA
-46.692878;-23.452017;35388701;CR P CONV PRINCESINHA;ANTONIO SUSINI;65;JARDIM PRINCESA;BRASILANDIA
-46.692639;-23.451888;35462561;CR P CONV PEQUENA GIOVANNA;ANTONIO SUSINI;44;JARDIM PRINCESA;BRASILANDIA
-46.692473;-23.452031;35182624;CR P CONV IMAC CORACAO DE MARIA JD PRINCESA;ANTONIO SUSINI;19;JARDIM PRINCESA;BRASILANDIA
-46.691112;-23.452095;35463553;CR P CONV IRMA TERESA DANTAS;FIRMINOPOLIS;1527;JARDIM VISTA ALEGRE;BRASILANDIA
-46.688882;-23.45136;35182680;CR P CONV NS SRA DAS DORES II;ITATIBA DO SUL;683;JARDIM VISTA ALEGRE;BRASILANDIA
-46.68814;-23.450737;35053594;EMEF JOAO AMOS COMENIUS;RUA IBIRAIARAS;400;JARDIM VISTA ALEGRE;BRASILANDIA
-46.686561;-23.450583;35237978;CEI DIRET JARDIM VISTA ALEGRE;IBIRAIARAS;200;JARDIM VISTA ALEGRE;BRASILANDIA
-46.68918;-23.447782;35090591;CEU EMEF TEOTONIO VILELA SEN;DANIEL CERRI;1549;JARDIM PARANA;BRASILANDIA
-46.68918;-23.447782;35060963;CEU CEI PAZ;DANIEL CERRI;1549;JARDIM PARANA;BRASILANDIA
-46.68918;-23.447782;35060948;CEU EMEI PAZ;DANIEL CERRI;1549;JARDIM PARANA;BRASILANDIA
-46.684977;-23.455801;35090608;EMEI BERTHA LUTZ;RUA ROMULO NALDI;117;CONJ PROMORAR ESTRADA DA PARADA;BRASILANDIA
-46.684898;-23.455743;35309485;CEI INDIR JARDIM ELISA MARIA;ROMULO NALDI;137;CONJUNTO PROMORAR ESTRADA DA PARADA;BRASILANDIA
-46.684859;-23.455715;35090585;EMEF CECILIA MORAES DE VASCONCELOS PROFA;ROMULO NALDI;147;CONJUNTO PROMORAR ESTRADA DA PARADA;BRASILANDIA
-46.68047;-23.461445;35354715;EMEF JOSE HERMINIO RODRIGUES CEL PM;PEDRO POMAR;SN;JARDIM ELISA MARIA;BRASILANDIA
-46.680314;-23.461209;35183118;CEI INDIR JARDIM TEREZA;RUA PEDRO POMAR;120;JARDIM ELISA MARIA;BRASILANDIA
-46.67993;-23.461023;35074652;EMEI CAIO GRACO DA SILVA PRADO;RUA PEDRO POMAR;74;JARDIM TEREZA;BRASILANDIA
-46.678471;-23.460604;35435326;CR P CONV CANAA II;SAO GONCALO DO ABAETE;359;PARQUE TIETE;BRASILANDIA
-46.680366;-23.45416;35182655;CEI INDIR JARDIM DOS FRANCOS;RUA PEDRO ALBA;245;JARDIM ELISA MARIA;BRASILANDIA
-46.6798;-23.455757;35470466;CR P CONV PLENITUDE;EDUARDO VIEIRA DE MELO;85;JARDIM ELISA MARIA;BRASILANDIA
-46.685718;-23.451975;35130333;REPUBLICA DA COLOMBIA;RUA RENDEIRA;926;JARDIM VISTA ALEGRE;BRASILANDIA
-46.685587;-23.452657;35000292;DALILA DE ANDRADE COSTA PROFESSORA;R ARROIO DO MEIO;S/N;JD V ALEGRE;BRASILANDIA
-46.685104;-23.452345;35182679;CR P CONV NS SRA DAS DORES I;RENDEIRA;75;JARDIM VISTA ALEGRE;BRASILANDIA
-46.685756;-23.4503;35294147;MENDES COLEGIO;RUA IBIRAIARAS;103;JARDIM VISTA ALEGRE;BRASILANDIA
-46.684914;-23.450214;35085492;EMEI BILAC PINTO MIN;RUA IBIRAIARAS;19;JARDIM VISTA ALEGRE;BRASILANDIA
